country,iso_code,total_vaccinations,vaccines
Myanmar,MMR,380000.0,Oxford/AstraZeneca
Nepal,NPL,1600000.0,Oxford/AstraZeneca
Netherlands,NLD,1887726.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
New Zealand,NZL,27000.0,Pfizer/BioNTech
Nigeria,NGA,8000.0,Oxford/AstraZeneca
North Macedonia,MKD,5300.0,Pfizer/BioNTech
Northern Cyprus,OWID_CYN,11000.0,"Pfizer/BioNTech, Sinovac"
Northern Ireland,OWID_NIR,776211.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Norway,NOR,768468.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Oman,OMN,120837.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Pakistan,PAK,350000.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Panama,PAN,309660.0,Pfizer/BioNTech
Paraguay,PRY,14696.0,Sputnik V
Peru,PER,689922.0,Sinopharm/Beijing
Philippines,PHL,336656.0,Sinovac
Poland,POL,5026182.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Portugal,PRT,1351516.0,"Moderna, Pfizer/BioNTech"
Qatar,QAT,615655.0,Pfizer/BioNTech
Romania,ROU,2521512.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Russia,RUS,8413713.0,"EpiVacCorona, Sputnik V"
Rwanda,RWA,338544.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Saint Helena,SHN,3107.0,Oxford/AstraZeneca
Saint Kitts and Nevis,KNA,7580.0,Oxford/AstraZeneca
Saint Lucia,LCA,20247.0,Oxford/AstraZeneca
Saint Vincent and the Grenadines,VCT,9383.0,Oxford/AstraZeneca
San Marino,SMR,7923.0,Sputnik V
Saudi Arabia,SAU,3333125.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,OWID_SCT,2407496.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Senegal,SEN,159168.0,Sinopharm/Beijing
Serbia,SRB,2178930.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Seychelles,SYC,90150.0,"Oxford/AstraZeneca, Sinopharm/Beijing"
Singapore,SGP,792423.0,"Moderna, Pfizer/BioNTech"
Slovakia,SVK,756567.0,Pfizer/BioNTech
Slovenia,SVN,290220.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
South Africa,ZAF,182983.0,Johnson&Johnson
South Korea,KOR,681443.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Spain,ESP,6321908.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Sri Lanka,LKA,838355.0,Oxford/AstraZeneca
Suriname,SUR,13749.0,Oxford/AstraZeneca
Sweden,SWE,1293923.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Switzerland,CHE,1176875.0,"Moderna, Pfizer/BioNTech"
Thailand,THA,53842.0,"Oxford/AstraZeneca, Sinovac"
