"COUNTRY_CODE","COUNTRY_NAME","VACCINE_NAME"
"MAC","Macao","Pfizer/BioNTech"
"MWI","Malawi","Oxford/AstraZeneca"
"MYS","Malaysia","Pfizer/BioNTech"
"MYS","Malaysia"," Sinovac"
"MDV","Maldives","Oxford/AstraZeneca"
"MLT","Malta","Pfizer/BioNTech"
"MUS","Mauritius","Oxford/AstraZeneca"
"MEX","Mexico"," Pfizer/BioNTech"
"MEX","Mexico","Oxford/AstraZeneca"
"MEX","Mexico"," Sputnik V"
"MDA","Moldova","Oxford/AstraZeneca"
"MCO","Monaco","Pfizer/BioNTech"
"MNG","Mongolia","Oxford/AstraZeneca"
"MNE","Montenegro","Sinopharm/Beijing"
"MNE","Montenegro"," Sputnik V"
"MSR","Montserrat","Oxford/AstraZeneca"
"MAR","Morocco","Oxford/AstraZeneca"
"MAR","Morocco"," Sinopharm/Beijing"
"MOZ","Mozambique","Sinopharm/Beijing"
"MMR","Myanmar","Oxford/AstraZeneca"
"NPL","Nepal","Oxford/AstraZeneca"
"NLD","Netherlands","Moderna"
"NLD","Netherlands"," Oxford/AstraZeneca"
"NLD","Netherlands"," Pfizer/BioNTech"
"NZL","New Zealand","Pfizer/BioNTech"
"NGA","Nigeria","Oxford/AstraZeneca"
"MKD","North Macedonia","Pfizer/BioNTech"
"OWID_CYN","Northern Cyprus","Pfizer/BioNTech"
"OWID_CYN","Northern Cyprus"," Sinovac"
"OWID_NIR","Northern Ireland","Oxford/AstraZeneca"
"OWID_NIR","Northern Ireland"," Pfizer/BioNTech"
"NOR","Norway","Moderna"
"NOR","Norway"," Oxford/AstraZeneca"
"NOR","Norway"," Pfizer/BioNTech"
"OMN","Oman"," Pfizer/BioNTech"
"OMN","Oman","Oxford/AstraZeneca"
"PAK","Pakistan","Oxford/AstraZeneca"
"PAK","Pakistan"," Sinopharm/Beijing"
"PAK","Pakistan"," Sputnik V"
"PAN","Panama","Pfizer/BioNTech"
"PRY","Paraguay","Sputnik V"
"PER","Peru","Sinopharm/Beijing"
"PHL","Philippines","Sinovac"
"POL","Poland","Moderna"
"POL","Poland"," Oxford/AstraZeneca"
"POL","Poland"," Pfizer/BioNTech"
"PRT","Portugal","Moderna"
"PRT","Portugal"," Pfizer/BioNTech"
"QAT","Qatar","Pfizer/BioNTech"
"ROU","Romania","Moderna"
"ROU","Romania"," Oxford/AstraZeneca"
"ROU","Romania"," Pfizer/BioNTech"
"RUS","Russia","EpiVacCorona"
"RUS","Russia"," Sputnik V"
"RWA","Rwanda","Moderna"
"RWA","Rwanda"," Oxford/AstraZeneca"
"RWA","Rwanda"," Pfizer/BioNTech"
"SHN","Saint Helena","Oxford/AstraZeneca"
"KNA","Saint Kitts and Nevis","Oxford/AstraZeneca"
"LCA","Saint Lucia","Oxford/AstraZeneca"
"VCT","Saint Vincent and the Grenadines","Oxford/AstraZeneca"
"SMR","San Marino","Sputnik V"
"SAU","Saudi Arabia","Oxford/AstraZeneca"
"SAU","Saudi Arabia"," Pfizer/BioNTech"
"OWID_SCT","Scotland","Oxford/AstraZeneca"
"OWID_SCT","Scotland"," Pfizer/BioNTech"
"SEN","Senegal","Sinopharm/Beijing"
"SRB","Serbia","Oxford/AstraZeneca"
"SRB","Serbia"," Pfizer/BioNTech"
"SRB","Serbia"," Sinopharm/Beijing"
"SRB","Serbia"," Sputnik V"
"SYC","Seychelles","Oxford/AstraZeneca"
"SYC","Seychelles"," Sinopharm/Beijing"
"SGP","Singapore","Moderna"
"SGP","Singapore"," Pfizer/BioNTech"
"SVK","Slovakia","Pfizer/BioNTech"
"SVN","Slovenia","Oxford/AstraZeneca"
"SVN","Slovenia"," Pfizer/BioNTech"
"ZAF","South Africa","Johnson&Johnson"
"KOR","South Korea","Oxford/AstraZeneca"
"KOR","South Korea"," Pfizer/BioNTech"
"ESP","Spain","Moderna"
"ESP","Spain"," Oxford/AstraZeneca"
"ESP","Spain"," Pfizer/BioNTech"
"LKA","Sri Lanka","Oxford/AstraZeneca"
"SUR","Suriname","Oxford/AstraZeneca"
"SWE","Sweden","Oxford/AstraZeneca"
"SWE","Sweden"," Pfizer/BioNTech"
"CHE","Switzerland","Moderna"
"CHE","Switzerland"," Pfizer/BioNTech"
"THA","Thailand","Oxford/AstraZeneca"
"THA","Thailand"," Sinovac"
"TTO","Trinidad and Tobago","Oxford/AstraZeneca"
"TUN","Tunisia","Pfizer/BioNTech"
"TUN","Tunisia"," Sputnik V"
"TUR","Turkey","Sinovac"
"TCA","Turks and Caicos Islands","Pfizer/BioNTech"
"UGA","Uganda","Oxford/AstraZeneca"
"UKR","Ukraine","Oxford/AstraZeneca"
"ARE","United Arab Emirates"," Sinopharm/Beijing"
"ARE","United Arab Emirates"," Sinopharm/Wuhan"
"ARE","United Arab Emirates"," Pfizer/BioNTech"
"ARE","United Arab Emirates","Oxford/AstraZeneca"
"ARE","United Arab Emirates"," Sputnik V"
"GBR","United Kingdom","Oxford/AstraZeneca"
"GBR","United Kingdom"," Pfizer/BioNTech"
"USA","United States","Johnson&Johnson"
"USA","United States"," Moderna"
"USA","United States"," Pfizer/BioNTech"
"URY","Uruguay","Pfizer/BioNTech"
"URY","Uruguay"," Sinovac"
"VEN","Venezuela","Sputnik V"
"VNM","Vietnam","Oxford/AstraZeneca"
"OWID_WLS","Wales"," Pfizer/BioNTech"
"OWID_WLS","Wales","Oxford/AstraZeneca"
"ZWE","Zimbabwe","Sinopharm/Beijing"
