iso_code,vaccine
SGP,Pfizer/BioNTech
SVK,Pfizer/BioNTech
SVN,Oxford/AstraZeneca
SVN,Pfizer/BioNTech
ZAF,Johnson&Johnson
KOR,Oxford/AstraZeneca
KOR,Pfizer/BioNTech
ESP,Moderna
ESP,Oxford/AstraZeneca
ESP,Pfizer/BioNTech
LKA,Oxford/AstraZeneca
SUR,Oxford/AstraZeneca
SWE,Oxford/AstraZeneca
SWE,Pfizer/BioNTech
CHE,Moderna
CHE,Pfizer/BioNTech
THA,Oxford/AstraZeneca
THA,Sinovac
TTO,Oxford/AstraZeneca
TUN,Pfizer/BioNTech
TUN,Sputnik V
TUR,Sinovac
TCA,Pfizer/BioNTech
UGA,Oxford/AstraZeneca
UKR,Oxford/AstraZeneca
ARE,Oxford/AstraZeneca
ARE,Pfizer/BioNTech
ARE,Sinopharm/Beijing
ARE,Sinopharm/Wuhan
ARE,Sputnik V
GBR,Oxford/AstraZeneca
GBR,Pfizer/BioNTech
USA,Johnson&Johnson
USA,Moderna
USA,Pfizer/BioNTech
URY,Pfizer/BioNTech
URY,Sinovac
VEN,Sputnik V
VNM,Oxford/AstraZeneca
OWID_WLS,Oxford/AstraZeneca
OWID_WLS,Pfizer/BioNTech
ZWE,Sinopharm/Beijing
